id,Predicted
0,.indshmhvHalOWhzbesttlhnHAdbineksyldhimpRizhndinDhkam?hnhsWIchmt!.
1,.DhsOvIetskamhmInWylkamhHAvbighnWiTgRyiGtRUtsfrmAfgAnhstAn+piRIhd.
2,.bRyvhtfREskUlzWrfoRmbOTinpuRnEbrHudzAninmidhlklAskhm?UnitIz.
3,.gREnzinsYbIizkOlhnDhTRethvREnhndfEvrhbhlspRiGklAntiGkhndiShnzpuStsobIiGinkoRnf?UcrzpRysizlOr.piRIhd!.
4,.Dh?UnytidstEtshndrtuk.tUdifendWestrn?uRpbhgenstsOvRIhlhtAk.
5,.dhbhlkWOtmEdnOnWhn.inhbzektivsthdI.piRIhd!.
6,.bhtimpoRtsikspAndidbyhnIvinlaRjrTRIpYntEtbil?hndalrzkamhkaziGDhtREdpIkcrtUWrshnpiRIhd.
7,.lOdhskamh@DhnhmbrtUprsinilHyfhnkhmp?UtrzsofWeRkhmphnIkamhseznOtsWOntbIhvElhbhlfrhbwtE?iRpiRIhd!.
8,.DIInoRhshmwntshvkaRbhndyaksydinDIAtmhsfiRdkazDisHypReSr.
9,.dhbhlkWOt.DeRrlathvpIphlinkAmzhtsitIWiTprnDeRbAksanDem.piRIhd!.
10,.Hwevr@.DIipRhziShnhvrn@y~hmeThlosteRhtIpROgRAmHhzaWIzbintanhksepthlthmistUflhnwR~.
11,..bhtpRablhmzRimEnfr?uRhpIhnbiznis.An?URhpalhtiShzkhntinIjiklAmbhfr?uRhpIhnshlUShnz.
12,.tUzdEfebURItenindUilevhnpIemI?estI?onEbIsIz.hkeRhlbrnAtspeShl.
13,.mhSOizDhsenIcyldbhtAttymzrlykWEsHrdwn.
14,.IsbOksmhnsedmisthndOlsm?UphziShnhlbIhnwnslEtr.
15,.inkantRAskamhloGgrbhSoRhtIzrsInezinindhkEtrhvdiklyniGREtskamhezDEpRrmitfhndmAnijrzthlakinkrnt?IldzfrhloGgrtympiRIhd.
16,.bhtDEsEDAtifDEWEhntilshcsynzrevhdhndinDhfig?rzinflEShnWhlbIvindHaRdrtise.
17,.fhlashfrzhvejhkEShnofhndifrinDeRv?UzanDhnEcrhvdalij!.
18,.gEjtIlbI!Hyfhn.Whn.kamhhvyrzilEtidtUhkhlaRtimI?hndifiShntsIsingRhm.kamhizDhkazhthvEjhntUvhdhlt.tIHyfhnseltWhkImIh.piRIhd.
19,.kantRAktsAtfoRd.AndjIAmolsOkspyrinDI?UesamDhsI!.
20,.!Dhpap?hlEShnlyvzbyHrdiGgOtshndSIpoRbytREdiG.
21,.indIDIaRtmaRkitRIctshchfIvrpiclesfolDhtshmekspRitsWhndrtifitWudhntbikhmOvkItidhndbigitdiklyniG.
22,.DhsyhnshnteknalhjIEjhnsIWhlspendhbwtWhnHhndrdmil?hndalrzansUprkandhkttivitIRIsrc+OvrDhnekstfyv?Rz!AndDhministRIhvejhkEShnHAzitsOnsUprkanthktibhtIpROgRAmz.piRIhd.
23,.Az!RIshnmlIHAznyntInEtItUkamhOnlIsikstInynprsenthvREshzWrkhnsidrdlAnslyts.piRIhd.
24,.HilAndHeRisrolsOdrektrzhvmoRghngRenfelhnkhmpRht!.
25,.inkAlhfoRn?hkamh!enIWEpiRIhd.
26,.bhtDhlasWudHAvbinmhclaRjrifhtHAdin?UziGhn?UZUWhlhkwniGtekhnItUtEkWhnHhndrdnyntIsiksmil?hndalrzwthvlOnHyfhnlosizrzpiRIhd.
27,.HynDhsImzoRbitrkamhbizhntInbAthlzmoRhvakhtOvfhvhjan@lhkrEhnatWhlDenhlshcsstEdpRhfeShnz.piRIhd.
28,.DIofrizibRilI?hndifenskhntRyvtbysAnthfEzinvesmhntbAGkrzhsAlhminbRhDrzhndgOldmhnsaks.piRIhd.
29,.mykRhbyalhjIizDhstAdIhvoRghnizhmzDAtkAnatbIsInbyDhnEkhdy~.
30,.sOWitsolveRIpRitIpiRIhd.
31,.DEbIgAntibildbOtsWiTDhsEmrtiRIhlzDE?UzdfrpoRt.
32,.WeDrhmeRikhnizEbhltURIgEEnitsejWhldipenlaRjlIanDEbilhtizhvmistrnaRmhnAntHizstAs.
33,.Dhkrhn?rzhlatmhnhvTRIpYntsevhnbil?hndalrzWudbIinkRIsbyfyvHhndrdmil?hndalrzhndrzshplhmenchlbhjitRIkWestolsOsentikaGgRhs?estrdE.
