id,Predicted
0,.hndshmhvHaliWhzbesttwnHAdbhneksyhdDrmpRizhndinDhkam?hnhstWiHAm!.
1,.DhsOvIetskamhmInWylkamhHAvbighnWiTgRoiGtRUtsfrmAfgAnhstAnpiRIhd.
2,.bRyvhtfRIskUlzWrRfoRmdbOTinpuRnEbrHudzAndinmidhlklAskhm?UnitIz.
3,.gRiGzindsybIzkOlhnDhTRethvREnhndfEvrhbhlspRiGplAntiGkhndiShnzpucissybliGhndkoRnf?UcrzpRyshzlOrpiRIhd!.
4,.DhnytidstEtshndrtuk!tUdifendWestrn?uRhphgenstsObvIhthtAkt.
5,.dhbhlkWOtnEdidnWhninhbjektivsthdI.piRIhd.
6,.bhtimpoRtsikspAndidbyhnIvinlaRjrTRIpYntEtbil?hndalrzkamhkaziGDhtREdpekcrtUWrshnpiRIhd.
7,.lOdhstkamhDhnhmbrtUprsinilHyfhnkhmp?UtrsofWeRkhmphnIkamhseznOtsWOntbIhvElhbhlfrhbwtE?iRpiRIhd.
8,.DIInoRmhshmwntshvkaRbhnddyaksydinDIAtmhsfiRkazDDisHypReSr.
9,..dhbhlkWOt.DeRrlothvpIphlinkAmzhsitIWiTpRrdDeRbAksanDem.hpiRIhd!.
10,.HwevrDIephziShnhvhnyGmeTosteRitIpROgRAmHhzolWIzbhnhniksepthbhlthmisthvflhnaRh@.
11,..bhtpRablhmzRimEnfr?uRhpIhnbiznhs!And?uRhpalhtiShzkhntin?UtiklAbRhfr?uRhpIhnshlUShnz.
12,.tUzdEfeb?uRItenTtsAnddilevhnpIemIestIanEbIsIzhkeRhlbrnetspeShl@.
13,.miSO@izDhshnIcyldbhtAttymzHrlyvWEtsHrdwn.
14,.hspOksmhnsedmistrnOlzn?UphziShnWhlbIhnwnshlEtr.
15,.inkantRhstkamhloGgrbhS?oRitIzrsInezhnindhkEtrhvdiklyniGREtskamhAzDEprmitfhndmAnijrzthlakinkrnt?IldzfrhloGgrtympiRIhd.
16,.bhtbEssEDAtifDEWEthndtelshcsynzrevhdhntinDhfig?rzinflEShnWhlbIvinHaRdrtisE.
17,.fhlashfrzhvejhkEShnofhndifrinDeRv?UzanDhnEcrhvnalij.
18,.EjtIelbIHyfhn.Whn.kamhhvyrhzRUlEtidsUhkWyRrdIminAndifiShnzDIsenrhmkamhizDhkazhtivEjhnthDhdhlttIHyfhnsellhkIm?hh.piRIhd!.
19,.kantRAktsAtfoRd!ndjIAmolsOikspyrinDI?UesanDhsEm!.
20,.!Dhpap?hlEShnlyvzbyHrdiGgOtshndSIpoRbytREdiG.
21,.indIdDIaRtmaRkitRIcsDhchfIprpilesfalDhsheksprtsWhndrdifitWudhntbikhmmhHItidAndbigitdiklyniG.
22,.DhsyhnshnteknalhjIEjhnsIWhlspendhbwtWhnHhndrdmil?hndalrzansUprkandhkttivhtIRIsrcOvrDhnekstfyv?rz!hndDhministRIhvejhkEShnHAzitsOnsUprkandiktibhtIpROgRAmz.piRIhd.
23,.Az!RIshnlIHAznyntInEtItUkamhOnIsikstInynprsenthvREshtsWrkhnsidrdlAnslyts.piRIhd.
24,.HilAndHARissaolsOdrektrzhvmoRghngRenfelhnkhmprlz!.
25,.inkAlhfoRn?hkamh!enIEpiRIhd.
26,.bhtDhlasWudHAvbinmhclaRjrifhtHAdhn?UzinDhn?UZUhlhkwniGteknIktUtEkWhnHhndrdnyntIsiksmil?hndalrzwthvlOnHyfhnloshzrzpiRIhd.
