id,Predicted
0,.AndshmhvHaliWhzbesttwln+HAdbhneksyldrimpRizhndinDhkhm?hnhztWicHm!.
1,..izsOvIetskamhmInWylkamhHAvbighnWiTdRoiGtRUtsfhmAfgAnhstAn.piRIhd.
2,.fRyvhtfREskUlzWrfoRmdbOTinpuRnEbrHudzAndinmidhlklAskhm?UnitIz.
3,.gREnzindsylIzkOlhnDhTRethvREnhndfEvrhbhlspRiGplAntiGkhndiShnzputsYlIGhnkoRnf?UcrzpRysizlOrpiRIhd!.
4,.Dh?UnytidstEts.hndhtuk.tUdifendWestrn?uRhp.bhgenstsOvIhthtAk.
5,.dhbhlkWOt!DEdidn@WhninhbjektivsthdI.piRIhd.
6,.bhtimpoRtsikspAndidbyAGIvinlaRjrTRIpYntEt.bil?hndalrzkamhkaziGDhtREdpekcrdtUWrshnpiRIhd.
7,.lOdhstkamh@DhnhmbrtUprsinilHyfhnkhmp?UtrsofWeRkhmphnIkamhseznOtsWOntbIhvElhbhlfrhbwtE?iRpiRIhd.
8,.DIInoRmhshmwntshvkaRbhndyaksydinDIAtmhsfiRkazDisHypReSr!.
9,..dhbhlkWOt.DeRalothvpIphlhnkAnzhsitIWiTpRrDeRbAksanDem.piRIhd!.
10,.Hwevr.DIemphziShnhvhnyemAslosteRitIpROgRAmHhzolWIzbhnanikseptrWhlthmistrflhnaRO@.
11,..bhtpablhmzRimEnfr?uRhpIhnbiznhs.And?uRhpalhtiShnzkhntin?UtiklAbhfr?uRhpIhnshlUShnz.
12,.tUzdEfebuRItenThnddUlevhnpIemesti?onEbIsIz.hkeRhbrnetspeShl@.
13,..mhSOezhsenIcyldbhtAtymzHrlyfWEzHrdwn.
14,.EspOksmhnsedmistrnOlsn?UphziShnWhlbIhnwnslEtr.
15,.inkantRhstkamhloGgrbhSoRhtIzrsInezhnindhkEtrhvdiklyniGREtskamhezDEfrmitfhndmAnijrzthlakinkrntldzfrhloGgrtympiRIhd.
16,.bhtbEsEDAtifDEWEhntilshcsynzrevhdhntinDhfig?rzinflEShnWhlbIvinHaRdrtiseEd.
17,.fhlashfrzhvejhkEShnofhndifrinDeRv?UzanDhnEcrhvdalij!.
18,..EctIebI!Hyfhn.Whn.kamh.hvyrhzHUlEtidtUhkWaRdhmindifiShnzhsenrhm.kamhizDhkazhtivEjhntUDhdhlttIHyfhn.selhkUm?hh.piRIhd!.
19,.kantRAktsAtfoRd!hndjIAmolsOikspyrinDI?UesanDhsEmh!.
20,.Dhpap?hlEShnlyvzbyHrdiGgOtshndSIpoRbytREdiG!.
21,.indIdDIaRtmaRkitRIcDhchfIprpiiclesfoDhsheksrtsWhndrtifitWudhntbikhmmhvrHItidhndbigitdiklyniG~.
22,.DhsyhnshnteknalhjI~EjhnsIWhlspendhbwtWhnHhndrdmil?hndalrzansUprkandhkttivitIRIsrcOvrDhnekstfyvv?rzhndDhministRIhvejhkEShnHAzitsOnsUprkanthktibitIpROgRAmz.piRIhd.
23,.AzRIshnlIAznyntInEtItU~kamhOnIsikstInynprsenthvREshtzWrkhnsidrdlAnslyts.piRIhd.
24,.HilAndHeRissr@olsOdrektrzhvmoRghngRenfelinkhmprhn!.
25,..inkAlhfoRn?hkamh~enIWE~piRIhd.
26,.bhtDhlosWudHAvbinmhclaRjrifitHAdhn?UziGhn?UZUhlhkwniGteknIktUtEkWhnHhndrdnyntIsiksmil?hndalrzwthvlOnHyfhnloshzrzpiRIhd.
27,.ityDhsImzaRbitrkamhbizhnsImbAthlzmoRhvakhnivOvhjamhDhkrEhnavhlDenhlshcstEdpRhfeShnz.piRIhd.
28,.DIofrezEbRil?hndifenskhntRyvdbysAnthfEzinvesmhntbAGkrzhsAlmhndbRhDrzhndgOldmhnsaks.piRIhd.
29,.mykRhbyalhjIizDhsthdIhvoRghnizhmzDhtkAnatbIsInbyDhnEkhd@y~.
30,.sOitsolveRIpRitIpiRIhd.
31,.DEbIgAnthbildbOtsWiTDhsEmmotiRIhlzDE?UzdfrotoRoRtn.
32,.WeDrhmeRighnizEbhltURIgEnitsAjWhldipendlaRjlIanDIhbilhtIzhvmistroRmhnAndHizstAf!.
33,.Dhkrint?rzhlatmhnhvTRIpYntsevhnbil?hndalrzWudbIinkRIstbyfyvHhndrdmil?hndalrzhndrhzshplhmenchlbhjitRikWestolsOsentikaGRhs?estrdE!.
34,.DhpRamhsthfydimflEShndiznatpRhvydhkRotiRIhndbyWictUhsesDhfedzphfoRmhns.
35,.jORabI!nevhgOnrDAnhfelzmyAnmIdalfhnzdizHizpaRtbyOphniGin?UstEdIhmbilzlaRjIWiTpRyvhtfhndz.
36,.DhkAmpEnHhzWhnsevRhlkRIEthvhlWodsinsDhpRadhktWhzintRhdUstinaktObrnyntInEtIsikspiRIhd.
37,.DEkhnolsOSOHwDhSEphndsyzhvkanthnhntsAndYSizHAvcEnjdOvrtym.
38,.SIgatiSakHIsez.bhtDhbighSakWhznatanDhjob.
39,.dhbhlkWOtDIinsrthtIlehlHhzinkRIsmysevRhlloRdrzhmAhtUdkamh.dhbhlkWOtsedI?UesbAGkrHiR.piRIhd!.
40,.!dhbhlkWOt+HAkhvDhstAtikbidRIshbmithdfyvmenshgObIkhmpiRthgensthbidDAtHAzbinRifyndOvrhfyvHyfhnmhnTpiRIhd.kWesccmaRk.dhbhlkWOt!.
41,.DhsOShldemhkRAtikpaRtIzviktrIinDhstEtilekShn~inslesbigHyfhnHOlstynshndEWhzWhnhvDhbighstinmenI?rz.piRIhd.
42,.htAGkrizhSipdizyndtikeRIlaRjval?UmzhvYloR@hDrlikWhdkt.
43,.pRyvhtfRIskUlzrfoRmdbOTinpuRnEbrHudzAndinmidhlklAskhm?UnhtIz..
44,.WiDAnRzhvizdeT.WrkiGklAzpRhcestrzfilDhstRItshvkYmIhslhmzhndviljhszI.
45,.!jIeEsIvRIshnlIstaRthkRUsEdthprsWEdjIemdIlrztistiRkhsthmrzindhSoRtrtrmlenzpiRIhd!.
46,.Dhstak.WichzgEndTrIbhTprsentsOfaRDis?iRlOzdAtittIfoRdalrzhndsevhnIfyvsens!in.TigoRd.tREdiGdm?estrOz.
47,.fhsydsDIAntishpEtidcaRjizkamhhDrfAktrzkhmbyndtiHrjIemzfoRTHyfhnkWoRtrhndfulHyfhn?iRRizhlts.piRIhd!.
48,.ifmistrREghnWansesdIydbIhlAstiGlekisIhvHhsAdministREShnkamhitWhlbIneshseRItistakbildinanDhshpoRtDht@oRedIiksis.piRIhd.
49,.kOdiG~diplhmAtikhndiznhssrsizhnzy~DhnUzpEprRipoRthdDhttRISipmhntshWephnzrAvdAtDhbEslAst?iR+.
50,.hhtAGkrizhSipdizyndthkeRIlaRjval?UmzhvYloR@hDr@likWhdkaRgO@.
51,.foRDhfrsttymin?rzDhRiphblikhnzolsOkApcrdbOTHwshzhvkakGhn.
52,.DhmrsEtIzAndbIemdhbhl?UpROgRAmzmaRktDhfrDrspRedhvhnsentivzthotOmEkrzf?U?UZUhlIHhvstEthWEfrmRIbEtshndiskwnts.
53,.fotmakTrzbilIvthkhmphnIHAzhkRedhbilitIpRablhmAftritsiks?UhsOSIEShnRhRItElrjEsIpenIkhmphnIWic+enditlAkh!.
54,.hmhGDIiSUzinDhdisf?UtrWEjizkamhsebkantRAktiG.AndWrkkrUlzpiRIhd.
55,.inDhmhnImaRkipREtshndDhtReZrIzlithstTRUmhnThndsiksWhnbilzdiklyndtsytlI!.
56,.nwDrREtiGzHAvshGksOlO@DAtitmhst?UzalOphnAdtymnekskoRtrfrmEk.gudz.piRIhd.
57,.wizitfeRtU.prtektDIotOWrkrinditRYdAndDeRfoRREzdDhpRyshvhn?UkaRfrDhgyhnthpItRt!.
58,.dRekshWilUplEstsAlmhn.AzinvestmhntbEkrtUevkOkamhWiciztRyGtURIkhnstRhktdetAftrElevRijdfyHyfhn@wt.piRIhd.
59,.DeRishmkazdfropthmizhm.
60,.fhlashfrzhvedjhkEShnofhndifrinDeRv?UzanDhnEcrhvnalhj!.
61,.itWhzWhnTiGWhnAGkrmAnydenhfyddhbhlkWOtkhntRIzWhntisiksdhbhlkWOtbyDeRAkShnhldEmzfriRhnHyfhnkantRhv?UrzpiRIhd.
62,.DhjYnkhmiShn!bEstinShkagO.izlonhvDhmOspaRbhlinsikutivgRUpshndolHelTpiRIhd.
63,.bhtitkWiklIbIkEmpliRDAtitWhznOmhstEk.AndnOREtr.
64,.kemdEZhG@HAzRIjektidHizRyvhlz~ofrhvDhpaRtIpRezhdhnsI!AndhsIn?rphziShn~intEkEm?hGsAmghvrmhntpiRIhd.
65,.mistrbuSikinRipoRthdlIfEvrd~kIpiGDhkhmphnIHelReDrDhnakShniGinhvijhlAses.
66,.DhkhmphnIzdetWhztWenIsiksprsenthvkAphthlAtDIendhvDhsekhnkoRtr..itstaRgrtRESOiz.TrdIfyvprsent.
67,.lykDhpIkiGmIdIhznankhvRhjhvDIiniShlcynIstUdhntdemhnstREShnztyWantstUbighsnASnhldElIzHAvfrmhnTalbhtignoRDhdhmestikstUdnhnRets.
68,.stilkamh-ezstEksceRmhnkamhjEemkendhlkamhizkWiktrignalijkamh@dhbhlkWOt.DhpEprindhstRIizveRIkhnsrvhtiv.piRIhd!.
69,..tAksHhzHAzbOTWinrzAndlUzrzDis?iRpiRIhd.
70,.WenkhmlItidinnyntInEtInynkamh.DhplAntnhlinkRIsDI~oRgoGkhpAsitIzDhphsifiknoRTWestbyTrdIprsentkamhDhkhmphnIsed.piRIhd.
71,.Dhpap?hlEShnlimvzbyrdiGgOtshndSIboRbigREd.
72,.yWantthsIzhmyskRIm.
73,.mIntymkamh@mistrmhkaRdlIizHrplEsiGkI?Un?hnhfiShlzkamhinklUdihnsjenrhlkwzhlindshmnigOSIEtrz.piRIhd.
74,.val?UmWhzhRalhtivlIluhvTRIHhnrdsikstiTRIpYntnynmil?hnSeRzolDOhbhvDhtTRIHhnrdTrdIEtml?hnSeRz.tREhdtUzdE~.
75,.hndfAtkamh.DhpROf?UiZhn!AndvryhtIhv!mistrHaminzWrksImthHAv.dIpinDhSehsoRghnyzrzshmpRablhmzWiTitspReshtEShn.
76,..hDeRhkhnikspRestillIdzkamh@DOkamh@WiTEtIfoRhvDhtapWinHhndrdstoRztEkiGitskaRdpiRIhd.
77,.hmHhntiGelhfhns.
78,.mistrjOsifWhzpRIvIhslIpRezhdentAndcIffaprEtiG@ofisrhvkhm?UnhkEShnzsAdlykkoRprEShnhvWaSiGthnkamh@dIsIpiRIhd..
79,..kAndhditsmhstREzAtlIstfyvTwzhndalrzhnindhvijhWhlkantRhb?UShnzhvhndrtUHhnrdfiftIdalrzAnAtlIst.tWenIstEts.
80,.WhttRigrjIemznUstRAthjIizhnkliR+.
81,.dhbhlkWOt.DIimIdIhtkhinkhsUmrwntlIizWudbIOnlIhbwttWenIbil?hndalrzthtWenIfyvbil?hndalrzkamhAnddOzrsmolnhmbrzinaRikamIpiRIhd!dhbhlkWOt.
82,.dhbhlkWOt.itshnhdiShnhldalrfedrhlspendiG!etWudhntHAvdinDeRbifoR.kamh.dhbhlkWOt.mistrswndbREsed.piRIhd!.
83,.DishlwzDhSAftticEnjitseGThnddrekShnizDhkaRWIlzmUvhphnddwn+.
84,..DhstAcUhvlibrtIAnd~elisylhndHaRWiTinDhn?UjrzIWotrzn?U?oRkbE.
85,..DhstAcrhvlibrtIAnd+elisylhnzthaRWiTinDhnUjrzIWotrzhvnU?oRkbE~.
86,.DhkwntIkhndhkthDhkozrIHelshndfyinspekShnrvrmpiRh!.
87,.DEkhnolsOSOHwDhSEphndsyzhvkanthnhntshndOShnzHAvcEnjdOvrtym!.
88,..mhchvDhgRwndbIfkhnsUmdinDI?UnytidstEtskhmzfrmdeRIkwz.
89,.DIeksHyfhnhtrnIjenRhlHAdtesthfydfrWolhkAtDhtRylhnnU?oRkpiRIhd.
90,.HIintRhdUstDhRytiGhviGgliSintUhkrik?hlhmDAtHAdemfhsyzdlAthn@.
