id,Predicted
0,.inshmhvHalWhzbesttlhnAdbiniksyldrnpRizhnhnDhkhmhnhsWichmt!.
1,.DhsOvIetskamhmInWylkamhHAvbighnWiTgRyndtRUsfrmAfgAnhstAn!piRIhd.
2,.pRyvhtfRIskUlzWeRfoRmbOTinpuRnEbrHudzAninmidhlklAskhm?UnitIz!.
3,.gREnzinsybIHizkOlhnDhTRethvREnhndfEvrhmbhlzspRiGplAntiGkhndiShnzpuSsYbInhndkoRnf?UcrzpRyshzlOr.piRIhd.
4,.Dh?UnytidstEts.hndrtup.tUdifendWestrn?uRp.hgenstsOvIhlhtAk.
5,.dhbhlkWOtDEdinhntWhn.inAbzektivstdI.piRIhd.
6,.bhtimpoRtsikspAndidbyEnIvinlaRjrTRIpYntEtbil?hndalrzkamhkaziGDhtREdpEcrdtUWrshnpiRIhd!.
7,.lOdhskamh@DhnhmbrtUprsinilHyfhnkhmp?UtrsofWeRkhmphnIkamhseznOtsWOntbIhvElhbhlfrhbwtE?iRpiRIhd!.
8,.!DIInoRmhshmwntshvkaRbhndyaksydinDIAtmhsfiRdkazDisHypReSr.
9,.dhbhlkWOt.deRrlothvpIphlhnkAnzhsitIWiTprnDeRbAksanDem.piRIhd!.
10,.Hwevr.DIinphziShn@hvrny~hmAflotsteRitIpROgRAmHAzoRlWIzbin@hnAksepthhlthmisthfhnwR.
11,..bhtpRablhmzRimEnfr?uRhpIhnbiznis.And?URhpalhtiShnzkhntinIUdiklAmbrfr?uRhpIhnshlUShnz.
12,.tUzdEfeb?URItenzAnddUlevhnpIem?estI?onEbIsIzhkeRhlbrnAtspeShl@.
13,..miShlizDhsenIcyldbhtHAtymzHrlyktWEzsHrdwn.
14,.ispOksmhnsedmisthnOlznUphziShnhlbRIhnwnslEtr.
15,.inkantRhstkamhloGgrhtSoRhtIzrsInezinindhkEtrhvdiklyniGREtskamhezDEprmitfhndmAnijrzthlakinkrnt?IldzfrhloGgrtympiRIhd.
16,..bhtbEsEDAtifDEWEhntelshcsynzrevhdhndinDhfig?rz!inflEShnWhlbIvihnHaRdrtiser!.
17,.fhlashfrzhvejhkEShnofhndifrinDeRv?UzanDhnEcrhvnalij!.
18,.EjtIelbI!Hyfhn.Whn.kamhhvyrzfrlEtidtUhkhyRdiminhnddifiShnsIshndrhm.kamhizDhkazhtivEjhnthvhdhlt.tI!Hyfhn.sellhkImIh.piRIhd.
19,.kantRAktsitfoRd!AndjIAmolsOkspyrinDI?UesanDhsIis!.
20,.Dhpap?hlEShnlivzbyHrdiGgOtshndSIpoRbytREdiG.
21,.indIdDIaRtmaRkitRIcshchfIvrpiclesfolDhtshmeksprtsWhndrdifitWudhntbikhmOkItidAndbigitdiklyniG!.
